File,Year,Corpus,Words
codocu4.o24,788,YCOE,193
codocu3.o23,814,YCOE,679
codocu1.o1,830,YCOE,1753
codocu2.o12,849,YCOE,253
cocura.o2,890,YCOE,68556
cocuraC,890,YCOE,2119
coprefcura.o2,890,YCOE,831
codocu2.o2,894,YCOE,1857
coorosiu.o2,925,YCOE,51020
cochronA.o23,935,YCOE,14583
colawaf.o2,935,YCOE,3314
colawafint.o2,935,YCOE,1996
coboeth.o2,950,YCOE,48443
colaece.o2,950,YCOE,34727
cosolsat2,950,YCOE,1235
coverhom,975,YCOE,45674
coaelhom.o3,990,YCOE,62669
coaelive.o3,1000,YCOE,100193
coalex.o23,1000,YCOE,7271
coblick.o23,1000,YCOE,42506
cocanedgD,1000,YCOE,1765
cocathom1.o3,1000,YCOE,106173
cocathom2.o3,1000,YCOE,98583
coeuphr,1000,YCOE,3658
coeust,1000,YCOE,5271
coinspolD.o34,1000,YCOE,2530
colawnorthu.o3,1000,YCOE,1330
comart3.o23,1000,YCOE,25781
comarvel.o23,1000,YCOE,1891
comary,1000,YCOE,8181
coprefcath1.o3,1000,YCOE,1035
coprefcath2.o3,1000,YCOE,223
copreflives.o3,1000,YCOE,373
cosevensl,1000,YCOE,9143
cotempo.o3,1000,YCOE,5495
coverhomE,1000,YCOE,4463
codocu3.o3,1005,YCOE,7171
cowulf.o34,1010,YCOE,28768
colaw6atr.o3,1015,YCOE,2096
cobenrul.o3,1025,YCOE,20104
cogregdH.o23,1025,YCOE,25593
coherbar,1025,YCOE,22213
comart1,1025,YCOE,1300
conicodD,1025,YCOE,1798
coquadru.o23,1025,YCOE,4276
cowsgosp.o3,1025,YCOE,71104
coadrian.o34,1050,YCOE,1092
coapollo.o3,1050,YCOE,6545
cobyrhtf.o3,1050,YCOE,10243
cochristoph,1050,YCOE,1426
cochronC,1050,YCOE,22463
cogenesiC,1050,YCOE,5224
colaw1cn.o3,1050,YCOE,2386
colaw2cn.o3,1050,YCOE,4761
colaw5atr.o3,1050,YCOE,1228
comargaT,1050,YCOE,3661
cootest.o3,1050,YCOE,59524
cocanedgX,1065,YCOE,2118
cochdrul,1065,YCOE,18386
cochronD,1065,YCOE,26691
coinspolX,1065,YCOE,4896
colwsigeT,1065,YCOE,319
colwsigeXa.o34,1065,YCOE,3336
colwstan1.o3,1065,YCOE,4544
colwstan2.o3,1065,YCOE,4036
comart2,1065,YCOE,4391
covinsal,1065,YCOE,3655
cobede.o2,1075,YCOE,80767
coepigen.o3,1075,YCOE,965
coexodusP,1075,YCOE,1096
cogregdC.o24,1075,YCOE,91553
colsigewZ.o34,1075,YCOE,10420
coprefgen.o3,1075,YCOE,1399
coverhomL,1075,YCOE,1986
conicodA,1095,YCOE,8197
colawger.o34,1100,YCOE,751
colawine.ox2,1100,YCOE,2755
colacnu.o23,1115,YCOE,7099
colwgeat,1115,YCOE,2460
1120.WorcFrag,1120,PCMEP,157
1125.TheGrave,1125,PCMEP,200
cochad.o24,1125,YCOE,2659
codicts.o34,1125,YCOE,2180
colawwllad.o4,1125,YCOE,220
comargaC.o34,1125,YCOE,4196
